DataSet,90.0:90.0:-0.6:0.8:12.0:0.4:0.95:0.95:0.95:0.2:0.5:0.1,30.0:90.0:-0.2:0.8:5.0:0.4:0.7:0.2:0.7:0.95:0.5:0.85,45.0:90.0:-0.2:1.0:3.0:0.2:0.2:0.95:0.7:0.35:0.7:0.2,75.0:90.0:-1.0:0.8:3.0:0.01:0.35:0.2:0.2:0.35:0.2:0.6,60.0:75.0:-0.6:0.2:5.0:0.1:0.7:0.95:0.35:0.5:0.35:0.6,45.0:60.0:-0.8:0.4:8.0:0.01:0.7:0.95:0.2:0.2:0.95:0.6,90.0:30.0:-1.0:1.0:5.0:0.2:0.7:0.7:0.2:0.95:0.95:0.35,75.0:30.0:-0.6:0.6:2.0:0.05:0.2:0.2:0.2:0.5:0.5:0.35,60.0:45.0:-0.2:0.2:12.0:0.01:0.5:0.5:0.2:0.7:0.5:0.1,30.0:30.0:-0.4:0.6:2.0:0.1:0.95:0.7:0.2:0.7:0.7:0.2,45.0:45.0:-0.8:0.6:3.0:0.2:0.5:0.2:0.95:0.2:0.35:0.85,75.0:75.0:-0.6:1.0:3.0:0.4:0.35:0.7:0.95:0.5:0.5:0.6,90.0:75.0:-0.2:0.2:8.0:0.05:0.35:0.7:0.7:0.35:0.35:0.1,90.0:60.0:-0.8:0.4:5.0:0.01:0.2:0.2:0.95:0.7:0.35:0.2,30.0:75.0:-0.4:1.0:2.0:0.05:0.7:0.35:0.5:0.2:0.35:0.2,60.0:45.0:-1.0:0.8:2.0:0.1:0.35:0.2:0.95:0.2:0.95:0.1,30.0:75.0:-0.6:0.8:5.0:0.4:0.5:0.5:0.2:0.2:0.7:0.35,45.0:90.0:-1.0:0.6:5.0:0.2:0.2:0.95:0.35:0.7:0.2:0.1,45.0:60.0:-0.6:0.4:2.0:0.1:0.35:0.95:0.35:0.35:0.5:0.1,90.0:60.0:-0.6:0.6:8.0:0.4:0.5:0.95:0.7:0.95:0.2:0.6,60.0:30.0:-0.8:0.6:12.0:0.2:0.5:0.2:0.35:0.5:0.95:0.2,45.0:60.0:-0.4:1.0:12.0:0.01:0.95:0.35:0.2:0.5:0.35:0.85,45.0:90.0:-0.6:0.8:2.0:0.01:0.7:0.35:0.95:0.7:0.95:0.35,75.0:45.0:-0.6:0.8:2.0:0.4:0.2:0.7:0.5:0.2:0.35:0.85
Banknote,0.99993,0.9997,0.99948,0.99985,0.99985,0.99978,0.99963,0.99985,0.99993,0.99993,0.99993,0.99978,0.99978,0.99993,0.99993,0.99978,0.9997,0.99993,0.9997,0.99993,0.99985,0.99985,0.99978,1
Blood,0.75108,0.7496,0.74973,0.74718,0.74879,0.75121,0.74704,0.74839,0.74852,0.74933,0.74785,0.74704,0.74758,0.74906,0.74368,0.74973,0.75067,0.7457,0.7496,0.74839,0.75161,0.7539,0.74745,0.74812
Car,0.84265,0.82552,0.82529,0.81956,0.84288,0.82726,0.83536,0.825,0.83657,0.83692,0.82471,0.83241,0.83814,0.82378,0.83814,0.84282,0.83171,0.83154,0.82679,0.82784,0.82668,0.83154,0.82639,0.83281
Cardiotocography,0.76776,0.76833,0.75381,0.75695,0.7589,0.75452,0.76533,0.75429,0.76781,0.75805,0.75067,0.75443,0.76581,0.75329,0.76743,0.76495,0.76662,0.75052,0.7491,0.75576,0.75738,0.75381,0.7539,0.75562
Chart,0.9185,0.917,0.89017,0.89,0.905,0.90033,0.91417,0.89833,0.91883,0.8995,0.89917,0.89817,0.91617,0.893,0.9175,0.9135,0.91733,0.89183,0.88867,0.89567,0.89283,0.8965,0.89017,0.8985
Dermatology,0.96557,0.9582,0.96612,0.96284,0.96694,0.96284,0.97049,0.96393,0.9612,0.96448,0.96202,0.96257,0.96339,0.96721,0.96284,0.96339,0.96257,0.96366,0.96475,0.96339,0.96475,0.96557,0.96858,0.9612
Fertility,0.65556,0.66111,0.67,0.66111,0.66444,0.64222,0.64889,0.65111,0.66889,0.66556,0.69222,0.66111,0.66444,0.64222,0.65556,0.66222,0.66222,0.65333,0.65889,0.68556,0.66222,0.64667,0.69,0.68556
Haberman,0.7219,0.72549,0.72026,0.72516,0.72484,0.72353,0.72353,0.71863,0.72582,0.72092,0.72026,0.71536,0.72614,0.72092,0.72549,0.72549,0.72124,0.72124,0.72418,0.72255,0.71928,0.72451,0.72516,0.72092
Hayes,0.66439,0.68182,0.67879,0.66136,0.67652,0.65985,0.65985,0.66288,0.675,0.67273,0.66288,0.68333,0.67879,0.65455,0.65833,0.67045,0.68106,0.65682,0.66212,0.66742,0.66061,0.67879,0.68333,0.67576
Hill,0.64917,0.64158,0.61997,0.61881,0.63432,0.61865,0.65231,0.60908,0.65644,0.617,0.6132,0.60825,0.64769,0.62492,0.64488,0.65033,0.64818,0.61518,0.59818,0.61535,0.62261,0.61782,0.60957,0.61848
Ionosphere,0.85185,0.84587,0.8396,0.85641,0.85755,0.84416,0.85242,0.84843,0.84103,0.84501,0.84359,0.84188,0.84758,0.84387,0.84644,0.84017,0.85071,0.84786,0.83732,0.83191,0.83846,0.84815,0.83875,0.83903
Letter,0.69023,0.69136,0.66898,0.67119,0.68475,0.67138,0.69243,0.66829,0.69168,0.67264,0.67093,0.66995,0.69074,0.67429,0.68971,0.69266,0.69349,0.66645,0.66833,0.67106,0.66681,0.67055,0.66953,0.67203
Libras,0.77233,0.76967,0.761,0.75433,0.756,0.74967,0.78233,0.749,0.78433,0.754,0.75333,0.75767,0.76733,0.75933,0.77533,0.77967,0.76833,0.74767,0.75633,0.748,0.74967,0.74333,0.75867,0.74
Optdigits,0.88789,0.87681,0.87177,0.87303,0.87939,0.87529,0.88965,0.87446,0.88855,0.87255,0.86995,0.87188,0.88603,0.87308,0.88321,0.88182,0.88091,0.86986,0.87464,0.87069,0.87116,0.87143,0.87123,0.87212
Pen,0.91204,0.91403,0.8972,0.89485,0.90798,0.89595,0.91293,0.89849,0.91532,0.9009,0.89713,0.89604,0.91199,0.896,0.91378,0.91514,0.91252,0.89854,0.89783,0.89652,0.89649,0.89606,0.89381,0.89767
QSARBiodegradation,0.85714,0.85924,0.84943,0.85267,0.85638,0.85057,0.85914,0.85181,0.86286,0.85562,0.85,0.8521,0.85924,0.84952,0.8579,0.8581,0.85981,0.84962,0.85257,0.85057,0.8461,0.85381,0.85029,0.85571
Shuttle,0.46649,0.43702,0.4944,0.59782,0.47954,0.37203,0.45731,0.59137,0.50815,0.45845,0.42457,0.51144,0.5187,0.47654,0.41893,0.44437,0.45199,0.49155,0.34957,0.47305,0.39781,0.54064,0.44259,0.40915
SPECTF,0.36,0.34667,0.3325,0.34083,0.32458,0.345,0.36292,0.34167,0.34708,0.32875,0.40417,0.35625,0.36708,0.38583,0.37125,0.37083,0.35583,0.36333,0.34083,0.32917,0.31208,0.34167,0.29542,0.325
Wilt,0.96964,0.9684,0.96487,0.96539,0.96762,0.96545,0.97055,0.96563,0.96954,0.96797,0.96679,0.96646,0.96942,0.96592,0.96958,0.9695,0.96898,0.96549,0.96588,0.96632,0.96617,0.96621,0.96592,0.96594
Zoo,0.73118,0.72366,0.7043,0.65161,0.76452,0.61505,0.75699,0.66667,0.67634,0.65591,0.68495,0.66452,0.7,0.73118,0.64516,0.70968,0.69032,0.67849,0.69032,0.6914,0.73333,0.71075,0.7129,0.71828
